	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.752441	1.776732	1.796378	1.775820	1.639286	1.603940	1.580571	1.582436	1.883441	1.942526	1.881096	1.840742	1.684538	1.685827	1.775151	1.697343	1.795177	1.752983	1.782047	1.742128	1.792332	1.575602	1.594984	1.824517	1.852333
1	-0.140718	0.135396	0.407594	0.523108	0.300273	0.042225	-0.165653	-0.180278	0.308724	0.092393	-0.120267	-0.182106	-0.141602	-0.454483	-0.848237	-0.894567	-0.137813	-0.459690	-0.809887	-0.888052	0.340098	-0.242524	-0.181479	-0.242845	-0.190505
2	4.366838	4.346608	4.316051	4.296726	4.405643	4.456810	4.436585	4.435049	4.209115	4.209625	4.144888	4.143621	4.371048	4.318083	4.268231	4.193468	4.299897	4.255273	4.268258	4.203206	4.325665	4.458445	4.388737	4.136899	4.093643
3	1.752441	1.776732	1.796378	1.775820	1.639286	1.603940	1.580571	1.582436	1.883441	1.942526	1.881096	1.840742	1.684538	1.685827	1.775151	1.697343	1.795177	1.752983	1.782047	1.742128	1.792332	1.575602	1.594984	1.824517	1.852333
4	-0.140718	0.135396	0.407594	0.523108	0.300273	0.042225	-0.165653	-0.180278	0.308724	0.092393	-0.120267	-0.182106	-0.141602	-0.454483	-0.848237	-0.894567	-0.137813	-0.459690	-0.809887	-0.888052	0.340098	-0.242524	-0.181479	-0.242845	-0.190505
5	4.366838	4.346608	4.316051	4.296726	4.405643	4.456810	4.436585	4.435049	4.209115	4.209625	4.144888	4.143621	4.371048	4.318083	4.268231	4.193468	4.299897	4.255273	4.268258	4.203206	4.325665	4.458445	4.388737	4.136899	4.093643
6	1.734728	1.756982	1.774732	1.753782	1.625597	1.587307	1.515147	1.554476	1.866628	1.918761	1.857114	1.823422	1.665694	1.639691	1.803144	1.731891	1.779375	1.738732	1.782003	1.740974	1.771152	1.553682	1.571930	1.810807	1.809202
7	-0.141932	0.132234	0.402633	0.524879	0.303997	0.048220	-0.147649	-0.203198	0.309741	0.093887	-0.137444	-0.186407	-0.142311	-0.439749	-0.712802	-0.754049	-0.139428	-0.469506	-0.812134	-0.889666	0.335575	-0.258038	-0.216484	-0.254708	-0.196602
8	4.319549	4.305302	4.280055	4.254696	4.354665	4.405908	4.410993	4.409162	4.180329	4.173113	4.103806	4.104022	4.321933	4.255507	4.483280	4.371860	4.256602	4.235342	4.266245	4.203399	4.288405	4.433609	4.384375	4.093249	4.040000
9	1.716009	1.738846	1.757311	1.731395	1.610789	1.579183	1.499151	1.522163	1.839375	1.893608	1.844324	1.803447	1.650430	1.599563	1.746275	1.723633	1.755186	1.747287	1.782037	1.736280	1.753530	1.508512	1.538571	1.781381	1.816117
10	-0.138290	0.138480	0.411333	0.528210	0.306584	0.065354	-0.129424	-0.190506	0.305328	0.064124	-0.136646	-0.196333	-0.137348	-0.419614	-0.771625	-0.862305	-0.137321	-0.474909	-0.813181	-0.890185	0.343683	-0.252494	-0.194221	-0.270261	-0.193059
11	4.285010	4.267743	4.240344	4.214042	4.326727	4.376584	4.366000	4.349382	4.130943	4.127573	4.079463	4.075677	4.291095	4.189237	4.420605	4.414062	4.214325	4.209286	4.262399	4.202644	4.249136	4.338142	4.322001	4.076791	4.033401
12	1.701434	1.719544	1.732226	1.710174	1.589304	1.554794	1.482714	1.486033	1.823446	1.878763	1.816856	1.784317	1.634484	1.567110	1.719938	1.670763	1.743748	1.752211	1.776080	1.730662	1.730012	1.466646	1.501246	1.769864	1.791864
13	-0.130697	0.141057	0.408512	0.530614	0.304390	0.065506	-0.131872	-0.190910	0.309136	0.062314	-0.132681	-0.193061	-0.130434	-0.448978	-0.787198	-0.867286	-0.129641	-0.465697	-0.806469	-0.885065	0.342266	-0.243565	-0.187623	-0.259850	-0.213356
14	4.247221	4.229102	4.199578	4.169876	4.286097	4.347765	4.311677	4.290907	4.102297	4.099457	4.034983	4.035534	4.246933	4.150030	4.330821	4.310092	4.185814	4.175435	4.264783	4.210319	4.209037	4.284113	4.267500	4.029569	3.999889
15	1.701434	1.719544	1.732226	1.710174	1.589304	1.554794	1.482714	1.486033	1.823446	1.878763	1.816856	1.784317	1.634484	1.567110	1.719938	1.670763	1.743748	1.752211	1.776080	1.730662	1.730012	1.466646	1.501246	1.769864	1.791864
16	-0.130697	0.141057	0.408512	0.530614	0.304390	0.065506	-0.131872	-0.190910	0.309136	0.062314	-0.132681	-0.193061	-0.130434	-0.448978	-0.787198	-0.867286	-0.129641	-0.465697	-0.806469	-0.885065	0.342266	-0.243565	-0.187623	-0.259850	-0.213356
17	4.247221	4.229102	4.199578	4.169876	4.286097	4.347765	4.311677	4.290907	4.102297	4.099457	4.034983	4.035534	4.246933	4.150030	4.330821	4.310092	4.185814	4.175435	4.264783	4.210319	4.209037	4.284113	4.267500	4.029569	3.999889
18	1.687415	1.702854	1.714068	1.690377	1.571691	1.527164	1.464842	1.469664	1.799107	1.851446	1.802351	1.765246	1.623119	1.537688	1.675874	1.606445	1.726275	1.750616	1.768957	1.732980	1.712064	1.440760	1.496636	1.747479	1.776577
19	-0.126370	0.143905	0.410027	0.530919	0.299262	0.059882	-0.140911	-0.148268	0.309067	0.062623	-0.141279	-0.198968	-0.127827	-0.450506	-0.799089	-0.871094	-0.122734	-0.467975	-0.805770	-0.882140	0.344072	-0.225938	-0.144494	-0.246522	-0.203436
20	4.213332	4.193138	4.163505	4.136472	4.254378	4.309007	4.270014	4.247095	4.056384	4.057047	4.014906	4.009603	4.217952	4.091295	4.244761	4.187500	4.145510	4.168184	4.257353	4.203331	4.172776	4.208570	4.204111	4.005706	3.978091
21	1.668066	1.679175	1.684967	1.663002	1.549954	1.508854	1.446869	1.440662	1.785886	1.838256	1.783473	1.748913	1.601572	1.514186	1.573950	1.534762	1.710042	1.740823	1.767375	1.737376	1.684460	1.418027	1.472446	1.732288	1.752329
22	-0.131049	0.140360	0.407808	0.529569	0.301119	0.066056	-0.133343	-0.169847	0.309741	0.063306	-0.136702	-0.194135	-0.132318	-0.444145	-0.782548	-0.855116	-0.127610	-0.473008	-0.804156	-0.879059	0.341504	-0.228865	-0.149952	-0.258247	-0.197768
23	4.178349	4.157137	4.124832	4.094695	4.221959	4.272790	4.224534	4.199172	4.037924	4.038612	3.983098	3.982759	4.179219	4.038487	4.119814	4.070031	4.115909	4.146971	4.248510	4.196687	4.134970	4.175054	4.172700	3.976849	3.930223
24	1.647264	1.661866	1.671973	1.640313	1.525536	1.485799	1.422952	1.409167	1.754965	1.810310	1.770244	1.731719	1.580139	1.492331	1.509308	1.456452	1.689415	1.731053	1.765332	1.736358	1.670297	1.391284	1.428709	1.729344	1.738585
25	-0.136810	0.135253	0.403364	0.527242	0.303132	0.060564	-0.139512	-0.184888	0.296774	0.062721	-0.142620	-0.202806	-0.134442	-0.443471	-0.770396	-0.853984	-0.137029	-0.488959	-0.804087	-0.878650	0.336896	-0.236325	-0.173035	-0.266177	-0.212060
26	4.136390	4.118410	4.090733	4.052470	4.166837	4.230669	4.187541	4.137551	3.989903	3.994489	3.949849	3.950150	4.133812	3.996792	4.020230	3.931623	4.076291	4.132355	4.243166	4.191729	4.099552	4.123549	4.099555	3.950361	3.904000
27	1.647264	1.661866	1.671973	1.640313	1.525536	1.485799	1.422952	1.409167	1.754965	1.810310	1.770244	1.731719	1.580139	1.492331	1.509308	1.456452	1.689415	1.731053	1.765332	1.736358	1.670297	1.391284	1.428709	1.729344	1.738585
28	-0.136810	0.135253	0.403364	0.527242	0.303132	0.060564	-0.139512	-0.184888	0.296774	0.062721	-0.142620	-0.202806	-0.134442	-0.443471	-0.770396	-0.853984	-0.137029	-0.488959	-0.804087	-0.878650	0.336896	-0.236325	-0.173035	-0.266177	-0.212060
29	4.136390	4.118410	4.090733	4.052470	4.166837	4.230669	4.187541	4.137551	3.989903	3.994489	3.949849	3.950150	4.133812	3.996792	4.020230	3.931623	4.076291	4.132355	4.243166	4.191729	4.099552	4.123549	4.099555	3.950361	3.904000
30	1.632550	1.640629	1.642831	1.618660	1.504520	1.452033	1.396084	1.388496	1.739234	1.795511	1.747862	1.713244	1.565561	1.476908	1.450606	1.401724	1.675143	1.721023	1.764136	1.732394	1.643247	1.364723	1.399350	1.698776	1.718955
31	-0.138335	0.132105	0.398166	0.517452	0.295225	0.048758	-0.150912	-0.195081	0.298225	0.060115	-0.142657	-0.206408	-0.137521	-0.450115	-0.763059	-0.843425	-0.136921	-0.490567	-0.804627	-0.875873	0.332257	-0.247782	-0.193847	-0.284405	-0.210339
32	4.111599	4.091413	4.060342	4.029535	4.124913	4.194763	4.136990	4.098019	3.968525	3.973388	3.919744	3.922314	4.111659	3.979648	3.938973	3.844359	4.049742	4.116126	4.240649	4.182195	4.070121	4.066531	4.055500	3.916153	3.869000
33	1.608406	1.619284	1.625951	1.592323	1.487836	1.439037	1.387265	1.376269	1.715516	1.770046	1.736722	1.697092	1.542042	1.456293	1.388775	1.324019	1.650251	1.707723	1.760295	1.729414	1.625118	1.355376	1.403034	1.689563	1.695334
34	-0.148907	0.123473	0.391824	0.516194	0.290062	0.051690	-0.151159	-0.198030	0.290992	0.055902	-0.152386	-0.217051	-0.148430	-0.484938	-0.801179	-0.836179	-0.147161	-0.489382	-0.801815	-0.871185	0.325319	-0.258095	-0.182358	-0.295110	-0.223165
35	4.076994	4.058425	4.030349	3.992964	4.114264	4.167293	4.121181	4.077446	3.936900	3.938419	3.904732	3.897071	4.076734	3.944621	3.836602	3.737689	4.015195	4.095374	4.238019	4.180205	4.039269	4.055028	4.041728	3.907951	3.837286
