	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-0.317874	-0.328463	-0.337024	-0.304798	-0.421784	-0.531613	-0.637685	-0.667297	-0.173919	-0.107766	-0.094704	-0.104215	-0.369702	-0.254266	-0.410678	-0.347448	-0.256414	-0.257758	-0.161439	-0.112872	-0.335232	-0.673999	-0.668889	-0.110713	-0.063009
1	-0.113393	0.221854	0.546444	0.647988	0.380805	0.108914	-0.116951	-0.149110	0.378551	0.074817	-0.176205	-0.195160	-0.111240	-0.451696	-0.770410	-0.791496	-0.112101	-0.474884	-0.860945	-0.899914	0.466769	-0.184672	-0.171008	-0.257988	-0.208039
2	2.613034	2.613455	2.600112	2.573911	2.488723	2.479538	2.542330	2.602455	2.594921	2.685472	2.745490	2.761593	2.550600	2.468872	2.866140	2.699179	2.596053	2.462914	2.373269	2.231214	2.605900	2.618143	2.571778	2.758363	2.721231
3	-0.317874	-0.328463	-0.337024	-0.304798	-0.421784	-0.531613	-0.637685	-0.667297	-0.173919	-0.107766	-0.094704	-0.104215	-0.369702	-0.254266	-0.410678	-0.347448	-0.256414	-0.257758	-0.161439	-0.112872	-0.335232	-0.673999	-0.668889	-0.110713	-0.063009
4	-0.113393	0.221854	0.546444	0.647988	0.380805	0.108914	-0.116951	-0.149110	0.378551	0.074817	-0.176205	-0.195160	-0.111240	-0.451696	-0.770410	-0.791496	-0.112101	-0.474884	-0.860945	-0.899914	0.466769	-0.184672	-0.171008	-0.257988	-0.208039
5	2.613034	2.613455	2.600112	2.573911	2.488723	2.479538	2.542330	2.602455	2.594921	2.685472	2.745490	2.761593	2.550600	2.468872	2.866140	2.699179	2.596053	2.462914	2.373269	2.231214	2.605900	2.618143	2.571778	2.758363	2.721231
6	-0.338734	-0.346640	-0.349852	-0.334233	-0.447905	-0.564310	-0.675913	-0.697858	-0.194032	-0.136458	-0.111317	-0.130810	-0.389469	-0.373001	-0.430510	-0.365340	-0.278019	-0.277861	-0.161316	-0.109489	-0.349264	-0.695419	-0.712593	-0.130685	-0.095222
7	-0.121256	0.208901	0.532058	0.650094	0.374795	0.106911	-0.109546	-0.149297	0.376834	0.069653	-0.185026	-0.195048	-0.120094	-0.408288	-0.796324	-0.808827	-0.118836	-0.484512	-0.855495	-0.895182	0.452582	-0.185168	-0.136962	-0.261450	-0.195740
8	2.667704	2.656723	2.626642	2.618709	2.522924	2.515956	2.594490	2.648672	2.645323	2.728169	2.769010	2.789425	2.602629	2.526370	2.882647	2.718195	2.653949	2.486029	2.372202	2.235106	2.636116	2.650200	2.610077	2.785105	2.770559
9	-0.386835	-0.384044	-0.379393	-0.374471	-0.472956	-0.595555	-0.706013	-0.729703	-0.220471	-0.165845	-0.144806	-0.155152	-0.437724	-0.424952	-0.447810	-0.382205	-0.324813	-0.315221	-0.173318	-0.228446	-0.380893	-0.716773	-0.718690	-0.152653	-0.117696
