	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-2.343132	-2.324754	-2.300193	-2.257943	-2.335331	-2.386886	-2.331389	-2.315109	-2.272749	-2.300907	-2.157732	-2.093046	-2.338214	-2.516808	-2.099633	-1.968424	-2.309526	-2.252395	-2.095660	-1.992836	-2.307518	-2.319249	-2.261124	-2.062030	-2.059463
1	0.066127	0.360153	0.648785	0.758575	0.538846	0.257742	-0.049379	-0.099440	0.509886	0.256367	0.012026	-0.062978	0.072099	-0.488954	-0.821831	-0.872637	0.059069	-0.353874	-0.830188	-0.883878	0.577414	-0.182773	-0.126102	-0.113519	-0.058664
2	3.671443	3.662886	3.644282	3.681429	3.529692	3.487768	3.423430	3.444072	3.814265	3.907015	3.881562	3.840567	3.584143	3.687357	3.505953	3.452413	3.698350	3.483800	3.515745	3.451679	3.650840	3.415997	3.464500	3.815524	3.803706
3	-2.343132	-2.324754	-2.300193	-2.257943	-2.335331	-2.386886	-2.331389	-2.315109	-2.272749	-2.300907	-2.157732	-2.093046	-2.338214	-2.516808	-2.099633	-1.968424	-2.309526	-2.252395	-2.095660	-1.992836	-2.307518	-2.319249	-2.261124	-2.062030	-2.059463
4	0.066127	0.360153	0.648785	0.758575	0.538846	0.257742	-0.049379	-0.099440	0.509886	0.256367	0.012026	-0.062978	0.072099	-0.488954	-0.821831	-0.872637	0.059069	-0.353874	-0.830188	-0.883878	0.577414	-0.182773	-0.126102	-0.113519	-0.058664
5	3.671443	3.662886	3.644282	3.681429	3.529692	3.487768	3.423430	3.444072	3.814265	3.907015	3.881562	3.840567	3.584143	3.687357	3.505953	3.452413	3.698350	3.483800	3.515745	3.451679	3.650840	3.415997	3.464500	3.815524	3.803706
6	-2.319165	-2.307752	-2.288412	-2.229262	-2.327833	-2.369075	-2.333101	-2.324026	-2.262564	-2.289390	-2.132720	-2.069985	-2.311677	-2.463070	-2.603634	-2.493075	-2.286417	-2.243817	-2.063648	-1.979833	-2.294608	-2.299573	-2.274215	-2.021063	-2.055404
7	0.084105	0.368621	0.651057	0.763540	0.538768	0.320381	0.010679	-0.037948	0.507797	0.239916	0.011431	-0.059512	0.093541	-0.403604	-0.823985	-0.863170	0.075433	-0.317554	-0.821764	-0.877476	0.580963	-0.130629	-0.052092	-0.115614	-0.044284
8	3.661166	3.657740	3.642743	3.672978	3.525200	3.447270	3.425090	3.427225	3.811041	3.901648	3.879964	3.843770	3.560461	3.653159	3.750729	3.702935	3.699003	3.492391	3.513885	3.469460	3.648508	3.388262	3.414445	3.801409	3.811333
9	-2.305186	-2.276280	-2.236757	-2.202189	-2.277977	-2.360502	-2.308696	-2.297465	-2.234174	-2.249558	-2.126613	-2.054298	-2.294887	-2.434846	-2.573418	-2.539062	-2.276864	-2.197693	-2.050010	-1.975465	-2.246607	-2.282102	-2.247292	-2.012573	-2.042099
