	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	0.078025	0.089359	0.100260	0.084964	-0.087135	-0.144860	-0.176805	-0.183300	0.269503	0.314917	0.277741	0.249151	-0.003549	-0.046427	-0.036442	-0.034803	0.158283	0.175018	0.096719	0.128518	0.097608	-0.182483	-0.202237	0.225673	0.264719
1	0.041784	0.354550	0.661472	0.799053	0.561620	0.359628	0.071202	-0.039658	0.541974	0.258532	0.023467	-0.048829	0.045914	-0.422041	-0.783242	-0.848500	0.036944	-0.309553	-0.649508	-0.510188	0.585592	-0.097312	-0.048121	-0.102198	-0.046751
2	4.479463	4.456198	4.420372	4.386644	4.473187	4.525254	4.503458	4.496178	4.383264	4.372886	4.212030	4.152683	4.455119	4.322648	4.289908	4.175044	4.427719	4.486792	4.570841	4.493271	4.431714	4.482501	4.467084	4.142057	4.103545
3	0.074281	0.086538	0.098803	0.081722	-0.088839	-0.144368	-0.182879	-0.182124	0.264745	0.313035	0.275006	0.240292	-0.007056	-0.041993	-0.047622	-0.074563	0.154369	0.170000	0.155746	0.164570	0.095762	-0.170241	-0.207420	0.217966	0.259104
4	0.041265	0.352628	0.657702	0.795989	0.560808	0.296613	0.001566	-0.095101	0.543227	0.263299	0.026062	-0.043555	0.045087	-0.393107	-0.776232	-0.826395	0.036798	-0.283113	-0.576488	-0.462954	0.582328	-0.168766	-0.088480	-0.095620	-0.040462
5	4.469269	4.441651	4.400291	4.372800	4.457971	4.517380	4.495620	4.475210	4.371246	4.360846	4.203605	4.118681	4.446584	4.312038	4.216083	4.068056	4.415904	4.459868	4.549822	4.473849	4.413125	4.482193	4.435000	4.103189	4.068000
6	0.074281	0.086538	0.098803	0.081722	-0.088839	-0.144368	-0.182879	-0.182124	0.264745	0.313035	0.275006	0.240292	-0.007056	-0.041993	-0.047622	-0.074563	0.154369	0.170000	0.155746	0.164570	0.095762	-0.170241	-0.207420	0.217966	0.259104
7	0.041265	0.352628	0.657702	0.795989	0.560808	0.296613	0.001566	-0.095101	0.543227	0.263299	0.026062	-0.043555	0.045087	-0.393107	-0.776232	-0.826395	0.036798	-0.283113	-0.576488	-0.462954	0.582328	-0.168766	-0.088480	-0.095620	-0.040462
8	4.469269	4.441651	4.400291	4.372800	4.457971	4.517380	4.495620	4.475210	4.371246	4.360846	4.203605	4.118681	4.446584	4.312038	4.216083	4.068056	4.415904	4.459868	4.549822	4.473849	4.413125	4.482193	4.435000	4.103189	4.068000
9	0.074281	0.086538	0.098803	0.081722	-0.088839	-0.144368	-0.182879	-0.182124	0.264745	0.313035	0.275006	0.240292	-0.007056	-0.041993	-0.047622	-0.074563	0.154369	0.170000	0.155746	0.164570	0.095762	-0.170241	-0.207420	0.217966	0.259104
10	0.041265	0.352628	0.657702	0.795989	0.560808	0.296613	0.001566	-0.095101	0.543227	0.263299	0.026062	-0.043555	0.045087	-0.393107	-0.776232	-0.826395	0.036798	-0.283113	-0.576488	-0.462954	0.582328	-0.168766	-0.088480	-0.095620	-0.040462
11	4.469269	4.441651	4.400291	4.372800	4.457971	4.517380	4.495620	4.475210	4.371246	4.360846	4.203605	4.118681	4.446584	4.312038	4.216083	4.068056	4.415904	4.459868	4.549822	4.473849	4.413125	4.482193	4.435000	4.103189	4.068000
12	0.060509	0.072553	0.084192	0.063791	-0.106564	-0.155953	-0.182773	-0.188200	0.245947	0.292553	0.261075	0.228518	-0.020763	-0.038614	-0.053543	-0.052066	0.140747	0.167482	0.175126	0.176725	0.081349	-0.179785	-0.206622	0.204906	0.246024
13	0.026090	0.338642	0.645309	0.787885	0.547902	0.252085	0.016126	-0.087764	0.537151	0.252413	0.017361	-0.054962	0.028356	-0.418536	-0.797566	-0.862801	0.023374	-0.291561	-0.601044	-0.504005	0.569500	-0.168236	-0.104731	-0.107487	-0.057975
14	4.401058	4.370055	4.326495	4.302391	4.383218	4.466631	4.434664	4.430212	4.297208	4.290782	4.114324	4.068643	4.376791	4.246131	4.118378	3.970550	4.349401	4.422181	4.539139	4.468739	4.339766	4.415196	4.409000	4.057237	4.038062
15	0.054774	0.071067	0.086600	0.061308	-0.108373	-0.159098	-0.190562	-0.185348	0.244323	0.287001	0.258065	0.224374	-0.026245	-0.041838	-0.053281	-0.047855	0.134862	0.167478	0.176292	0.154002	0.082778	-0.170750	-0.203615	0.197823	0.240416
16	0.024206	0.337375	0.644525	0.786010	0.550758	0.254607	-0.014848	-0.101651	0.536576	0.256670	0.016076	-0.057720	0.027362	-0.423333	-0.797732	-0.859243	0.020520	-0.303992	-0.597291	-0.643041	0.568604	-0.178520	-0.097507	-0.111200	-0.040339
17	4.385228	4.355060	4.311383	4.291101	4.363451	4.446739	4.414324	4.403693	4.289441	4.274552	4.108705	4.050275	4.363006	4.230394	4.117150	3.969769	4.331275	4.400443	4.516161	4.379984	4.324775	4.400674	4.388421	4.039936	4.016647
18	0.054774	0.071067	0.086600	0.061308	-0.108373	-0.159098	-0.190562	-0.185348	0.244323	0.287001	0.258065	0.224374	-0.026245	-0.041838	-0.053281	-0.047855	0.134862	0.167478	0.176292	0.154002	0.082778	-0.170750	-0.203615	0.197823	0.240416
19	0.024206	0.337375	0.644525	0.786010	0.550758	0.254607	-0.014848	-0.101651	0.536576	0.256670	0.016076	-0.057720	0.027362	-0.423333	-0.797732	-0.859243	0.020520	-0.303992	-0.597291	-0.643041	0.568604	-0.178520	-0.097507	-0.111200	-0.040339
20	4.385228	4.355060	4.311383	4.291101	4.363451	4.446739	4.414324	4.403693	4.289441	4.274552	4.108705	4.050275	4.363006	4.230394	4.117150	3.969769	4.331275	4.400443	4.516161	4.379984	4.324775	4.400674	4.388421	4.039936	4.016647
21	0.051440	0.067871	0.083843	0.047360	-0.120079	-0.171393	-0.202470	-0.194822	0.233336	0.278932	0.254092	0.224756	-0.029978	-0.043541	-0.050064	-0.042400	0.131960	0.163146	0.178992	0.155997	0.079919	-0.180715	-0.207442	0.204554	0.213968
22	0.014949	0.330563	0.640111	0.780700	0.548492	0.256127	-0.014331	-0.094883	0.534271	0.250997	0.007545	-0.069665	0.017674	-0.378466	-0.794119	-0.850527	0.011978	-0.312189	-0.594882	-0.641834	0.563609	-0.176485	-0.142408	-0.125821	-0.065335
23	4.347927	4.319958	4.279827	4.248067	4.331490	4.408708	4.377100	4.371770	4.257270	4.249097	4.089398	4.038297	4.321958	4.197706	4.111734	3.956708	4.297723	4.374804	4.505612	4.366037	4.292219	4.350899	4.363000	4.022898	3.993273
24	0.048758	0.063425	0.077713	0.040899	-0.128669	-0.177801	-0.202665	-0.200150	0.222071	0.271954	0.246110	0.222473	-0.032211	-0.052048	-0.050030	-0.027731	0.128842	0.155835	0.160089	0.136398	0.074207	-0.192238	-0.219832	0.206093	0.237040
25	0.019360	0.334331	0.643330	0.782127	0.549332	0.253910	-0.020979	-0.097269	0.535929	0.251293	-0.010099	-0.079808	0.021808	-0.426880	-0.792314	-0.852533	0.016539	-0.326063	-0.619590	-0.667177	0.566956	-0.176132	-0.094008	-0.136478	-0.069465
26	4.318289	4.292787	4.254232	4.231997	4.301542	4.370241	4.337968	4.337780	4.226519	4.216043	4.066426	4.025540	4.297460	4.161167	4.108124	3.998682	4.262431	4.339339	4.501391	4.359645	4.266290	4.342310	4.325700	4.012847	3.989467
27	0.048758	0.063425	0.077713	0.040899	-0.128669	-0.177801	-0.202665	-0.200150	0.222071	0.271954	0.246110	0.222473	-0.032211	-0.052048	-0.050030	-0.027731	0.128842	0.155835	0.160089	0.136398	0.074207	-0.192238	-0.219832	0.206093	0.237040
