	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-1.573859	-1.580577	-1.582570	-1.551296	-1.712153	-1.852731	-1.776177	-1.690799	-1.356968	-1.241979	-1.237319	-1.317659	-1.641042	-1.623047	-1.833953	-1.829985	-1.479716	-1.495389	-1.539281	-1.509805	-1.582956	-1.642767	-1.711494	-1.331364	-1.274652
1	0.117354	0.444639	0.765536	0.884700	0.631548	0.465891	0.191737	-0.055159	0.680957	0.443951	0.234391	0.223371	0.105135	-0.385511	-0.767839	-0.842120	0.127561	-0.388910	-0.790814	-0.872973	0.686250	-0.156981	-0.076985	0.163509	0.215997
2	4.380046	4.347148	4.302055	4.342023	4.221530	4.136879	4.117739	4.142225	4.367617	4.392727	4.371141	4.431629	4.298910	4.216169	4.457402	4.417615	4.386116	4.326159	4.301715	4.203056	4.315651	4.150806	4.073217	4.437631	4.346250
3	-1.573859	-1.580577	-1.582570	-1.551296	-1.712153	-1.852731	-1.776177	-1.690799	-1.356968	-1.241979	-1.237319	-1.317659	-1.641042	-1.623047	-1.833953	-1.829985	-1.479716	-1.495389	-1.539281	-1.509805	-1.582956	-1.642767	-1.711494	-1.331364	-1.274652
4	0.117354	0.444639	0.765536	0.884700	0.631548	0.465891	0.191737	-0.055159	0.680957	0.443951	0.234391	0.223371	0.105135	-0.385511	-0.767839	-0.842120	0.127561	-0.388910	-0.790814	-0.872973	0.686250	-0.156981	-0.076985	0.163509	0.215997
5	4.380046	4.347148	4.302055	4.342023	4.221530	4.136879	4.117739	4.142225	4.367617	4.392727	4.371141	4.431629	4.298910	4.216169	4.457402	4.417615	4.386116	4.326159	4.301715	4.203056	4.315651	4.150806	4.073217	4.437631	4.346250
6	-1.549213	-1.556179	-1.562736	-1.536040	-1.692465	-1.833032	-1.772186	-1.736277	-1.325336	-1.217007	-1.224809	-1.237733	-1.617093	-1.582831	-1.779856	-1.759651	-1.453231	-1.484808	-1.538531	-1.504196	-1.561148	-1.718308	-1.758920	-1.269031	-1.203551
7	0.033107	0.394570	0.751937	0.884246	0.645595	0.510489	0.247825	0.154533	0.676779	0.480890	0.278538	0.267213	0.026765	-0.380384	-0.764836	-0.834760	0.038847	-0.397115	-0.793337	-0.870693	0.663859	0.053246	0.127299	0.173642	0.253834
8	4.360673	4.325819	4.282862	4.319240	4.206024	4.095742	4.093456	4.126760	4.345901	4.359544	4.332777	4.361060	4.265692	4.156290	4.385124	4.323669	4.376483	4.326711	4.300188	4.197548	4.295086	4.099473	4.060625	4.387745	4.336333
9	-1.487976	-1.499025	-1.505094	-1.501782	-1.642665	-1.766999	-1.734483	-1.703993	-1.316395	-1.215899	-1.241506	-1.291858	-1.556564	-1.536888	-1.703620	-1.657227	-1.391832	-1.477813	-1.547958	-1.502989	-1.504498	-1.681506	-1.721959	-1.288797	-1.239417
10	0.038006	0.398949	0.752547	0.883959	0.662908	0.419994	0.140066	0.034766	0.672640	0.480238	0.200957	0.076958	0.035751	-0.379030	-0.757712	-0.836426	0.039556	-0.477447	-0.836604	-0.869244	0.665215	-0.055293	-0.000389	-0.012447	0.056477
11	4.352492	4.316552	4.267408	4.295463	4.182410	4.100569	4.093961	4.094652	4.326676	4.355042	4.360273	4.353693	4.258727	4.114191	4.288117	4.226562	4.365586	4.313829	4.300663	4.198535	4.282190	4.066188	4.046500	4.331632	4.339056
12	-1.487976	-1.499025	-1.505094	-1.501782	-1.642665	-1.766999	-1.734483	-1.703993	-1.316395	-1.215899	-1.241506	-1.291858	-1.556564	-1.536888	-1.703620	-1.657227	-1.391832	-1.477813	-1.547958	-1.502989	-1.504498	-1.681506	-1.721959	-1.288797	-1.239417
13	0.038006	0.398949	0.752547	0.883959	0.662908	0.419994	0.140066	0.034766	0.672640	0.480238	0.200957	0.076958	0.035751	-0.379030	-0.757712	-0.836426	0.039556	-0.477447	-0.836604	-0.869244	0.665215	-0.055293	-0.000389	-0.012447	0.056477
14	4.352492	4.316552	4.267408	4.295463	4.182410	4.100569	4.093961	4.094652	4.326676	4.355042	4.360273	4.353693	4.258727	4.114191	4.288117	4.226562	4.365586	4.313829	4.300663	4.198535	4.282190	4.066188	4.046500	4.331632	4.339056
15	-1.460427	-1.479086	-1.491382	-1.466094	-1.632050	-1.761757	-1.726824	-1.689219	-1.300624	-1.186856	-1.222681	-1.241838	-1.523476	-1.508512	-1.628187	-1.570312	-1.369282	-1.469946	-1.549108	-1.505108	-1.489348	-1.654068	-1.719196	-1.239429	-1.203315
16	0.034868	0.399171	0.755473	0.887148	0.653244	0.456953	0.173540	0.078612	0.673281	0.423877	0.140506	0.049362	0.028876	-0.428319	-0.779105	-0.858887	0.039667	-0.487084	-0.827847	-0.868373	0.667522	-0.011975	0.053087	-0.035139	0.037716
17	4.321523	4.287870	4.240296	4.261528	4.155103	4.053914	4.069429	4.091298	4.298811	4.317633	4.310773	4.299938	4.222710	4.091284	4.214362	4.152344	4.338406	4.310369	4.288414	4.191155	4.254771	4.074226	4.039143	4.249509	4.285600
18	-1.450201	-1.431962	-1.413880	-1.393302	-1.550836	-1.709442	-1.664366	-1.673169	-1.233912	-1.117037	-1.136474	-1.140209	-1.513237	-1.383633	-1.413880	-1.342969	-1.360006	-1.350427	-1.429075	-1.388306	-1.420067	-1.665922	-1.687316	-1.127717	-1.095589
19	0.143834	0.446044	0.744629	0.876737	0.647638	0.450670	0.168858	0.109242	0.684792	0.474468	0.185179	0.083740	0.133501	-0.407877	-0.784831	-0.863925	0.151467	-0.317835	-0.675607	-0.739940	0.669819	0.054061	0.081645	-0.009471	0.063162
20	4.234082	4.201211	4.161010	4.177073	4.071129	3.962808	4.006954	4.021958	4.194906	4.237000	4.217934	4.186637	4.135122	3.970237	3.973455	3.870947	4.253656	4.258886	4.190638	4.056283	4.173881	4.019777	3.985143	4.138207	4.177667
21	-1.450201	-1.431962	-1.413880	-1.393302	-1.550836	-1.709442	-1.664366	-1.673169	-1.233912	-1.117037	-1.136474	-1.140209	-1.513237	-1.383633	-1.413880	-1.342969	-1.360006	-1.350427	-1.429075	-1.388306	-1.420067	-1.665922	-1.687316	-1.127717	-1.095589
22	0.143834	0.446044	0.744629	0.876737	0.647638	0.450670	0.168858	0.109242	0.684792	0.474468	0.185179	0.083740	0.133501	-0.407877	-0.784831	-0.863925	0.151467	-0.317835	-0.675607	-0.739940	0.669819	0.054061	0.081645	-0.009471	0.063162
23	4.234082	4.201211	4.161010	4.177073	4.071129	3.962808	4.006954	4.021958	4.194906	4.237000	4.217934	4.186637	4.135122	3.970237	3.973455	3.870947	4.253656	4.258886	4.190638	4.056283	4.173881	4.019777	3.985143	4.138207	4.177667
24	-1.460163	-1.423115	-1.381082	-1.367796	-1.530101	-1.669993	-1.668369	-1.645682	-1.205646	-1.077356	-1.119516	-1.117777	-1.522563	-1.344778	-1.321296	-1.251953	-1.370491	-1.326990	-1.493208	-1.423807	-1.393109	-1.635771	-1.655467	-1.105067	-1.064146
25	0.134731	0.439035	0.735497	0.874631	0.645320	0.447073	0.164340	0.077569	0.671064	0.470912	0.184616	0.111428	0.127932	-0.409305	-0.790312	-0.862305	0.139009	-0.275831	-0.706913	-0.744684	0.662424	-0.021111	0.047296	0.023002	0.119857
26	4.174200	4.160458	4.125962	4.146122	4.048723	3.927539	3.978958	4.008464	4.177855	4.195086	4.188569	4.159328	4.073934	3.937924	3.902753	3.794922	4.196406	4.216645	4.236268	4.095477	4.137427	4.009838	3.974667	4.107980	4.128778
27	-1.451398	-1.408986	-1.363240	-1.342992	-1.501326	-1.660998	-1.644709	-1.636116	-1.166491	-1.037963	-1.075568	-1.082577	-1.514823	-1.314401	-1.248791	-1.174585	-1.360674	-1.313938	-1.494760	-1.445230	-1.375517	-1.616367	-1.637129	-1.064119	-1.033263
