	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.575515	1.587940	1.595866	1.571653	1.434824	1.341562	1.361802	1.383489	1.735272	1.890745	1.767583	1.713358	1.494758	1.525788	1.555094	1.528184	1.631206	1.613046	1.553066	1.501715	1.594725	1.384081	1.356441	1.696249	1.722318
1	0.125981	0.433347	0.735108	0.832375	0.629959	0.328747	0.074146	0.017186	0.617622	0.374261	0.155128	0.106014	0.127770	-0.425612	-0.792310	-0.862902	0.122186	-0.301829	-0.639409	-0.687465	0.660495	-0.029490	0.016271	0.050624	0.071382
2	4.450994	4.413798	4.365134	4.380607	4.411194	4.472528	4.508197	4.474229	4.292723	4.279521	4.194049	4.226114	4.457088	4.374056	4.366073	4.268341	4.374050	4.236959	4.253049	4.120297	4.379494	4.445126	4.459333	4.250768	4.188875
3	1.570570	1.570150	1.564953	1.550121	1.415207	1.304056	1.339382	1.335473	1.726372	1.873082	1.743884	1.720388	1.488901	1.520276	1.571967	1.558309	1.627493	1.561122	1.725222	1.705832	1.567679	1.329200	1.309341	1.685784	1.724102
4	0.122434	0.417083	0.705830	0.845664	0.629855	0.405980	0.076859	-0.009336	0.619925	0.373646	0.181744	0.152888	0.123349	-0.430362	-0.800490	-0.878303	0.119590	-0.271724	-0.688503	-0.815364	0.635034	-0.094594	-0.038628	0.111612	0.141913
5	4.389569	4.369575	4.336691	4.346893	4.375231	4.417058	4.409035	4.388859	4.274745	4.254738	4.157066	4.147140	4.392586	4.363037	4.372927	4.289011	4.317362	4.166007	4.388886	4.366577	4.347699	4.352631	4.375667	4.132242	4.101000
6	1.539633	1.546419	1.548000	1.525936	1.395933	1.287934	1.293824	1.290294	1.706625	1.841366	1.729846	1.679995	1.456881	1.505478	1.569156	1.606702	1.597911	1.530189	1.644324	1.597097	1.548232	1.283039	1.257858	1.662440	1.686994
7	0.132250	0.427221	0.717415	0.846107	0.622262	0.398905	0.083441	-0.005986	0.615345	0.389974	0.190231	0.153046	0.132801	-0.422945	-0.795130	-0.848066	0.129635	-0.252728	-0.706566	-0.749536	0.645799	-0.090803	-0.051371	0.096012	0.136362
8	4.372554	4.343552	4.301064	4.309978	4.353703	4.396974	4.358557	4.302818	4.235283	4.212210	4.134379	4.148438	4.371580	4.342244	4.369975	4.285501	4.304273	4.114728	4.315127	4.191076	4.313733	4.260789	4.256249	4.144277	4.068667
9	1.539633	1.546419	1.548000	1.525936	1.395933	1.287934	1.293824	1.290294	1.706625	1.841366	1.729846	1.679995	1.456881	1.505478	1.569156	1.606702	1.597911	1.530189	1.644324	1.597097	1.548232	1.283039	1.257858	1.662440	1.686994
