	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-2.029133	-2.045798	-2.056953	-2.033142	-2.177125	-2.225975	-2.165472	-2.151780	-1.939737	-1.889847	-1.868116	-1.886374	-2.067318	-2.066037	-2.066305	-1.984422	-1.959584	-1.935464	-1.752366	-1.841838	-2.055200	-2.164850	-2.180623	-1.901474	-1.907473
1	-0.054273	0.254735	0.558740	0.691718	0.430684	0.199890	-0.053867	-0.115767	0.456540	0.181336	-0.095426	-0.367134	-0.059736	-0.367279	-0.771420	-0.815358	-0.047973	-0.376340	-0.663696	-0.731489	0.483453	-0.179287	-0.126617	-0.426818	-0.360555
2	4.445435	4.435637	4.414538	4.399389	4.318689	4.278753	4.205295	4.212068	4.503667	4.467897	4.458478	4.446406	4.369536	4.321509	4.380566	4.261268	4.452605	4.470704	4.534280	4.444239	4.421970	4.193169	4.155308	4.440153	4.395600
3	-2.029133	-2.045798	-2.056953	-2.033142	-2.177125	-2.225975	-2.165472	-2.151780	-1.939737	-1.889847	-1.868116	-1.886374	-2.067318	-2.066037	-2.066305	-1.984422	-1.959584	-1.935464	-1.752366	-1.841838	-2.055200	-2.164850	-2.180623	-1.901474	-1.907473
4	-0.054273	0.254735	0.558740	0.691718	0.430684	0.199890	-0.053867	-0.115767	0.456540	0.181336	-0.095426	-0.367134	-0.059736	-0.367279	-0.771420	-0.815358	-0.047973	-0.376340	-0.663696	-0.731489	0.483453	-0.179287	-0.126617	-0.426818	-0.360555
5	4.445435	4.435637	4.414538	4.399389	4.318689	4.278753	4.205295	4.212068	4.503667	4.467897	4.458478	4.446406	4.369536	4.321509	4.380566	4.261268	4.452605	4.470704	4.534280	4.444239	4.421970	4.193169	4.155308	4.440153	4.395600
6	-2.014918	-2.032445	-2.044288	-2.020348	-2.162720	-2.194611	-2.135722	-2.128265	-1.929758	-2.118132	-1.981088	-1.898175	-2.051326	-2.064638	-2.068340	-1.992312	-1.947197	-1.905018	-1.823878	-1.870386	-2.042375	-2.125935	-2.128899	-1.903421	-1.891803
7	-0.048972	0.257893	0.559890	0.700521	0.437081	0.221183	-0.030676	-0.109640	0.456869	0.380345	0.164222	0.163066	-0.052787	-0.369300	-0.766208	-0.803430	-0.044226	-0.349730	-0.656260	-0.551008	0.485097	-0.166361	-0.069646	0.114860	0.136163
8	4.434544	4.424479	4.403020	4.385322	4.302992	4.235698	4.147780	4.149420	4.499961	4.314643	4.395020	4.371705	4.358093	4.316002	4.377703	4.272619	4.442396	4.431559	4.532950	4.476525	4.410549	4.137332	4.092530	4.430650	4.349000
9	-2.014918	-2.032445	-2.044288	-2.020348	-2.162720	-2.194611	-2.135722	-2.128265	-1.929758	-2.118132	-1.981088	-1.898175	-2.051326	-2.064638	-2.068340	-1.992312	-1.947197	-1.905018	-1.823878	-1.870386	-2.042375	-2.125935	-2.128899	-1.903421	-1.891803
10	-0.048972	0.257893	0.559890	0.700521	0.437081	0.221183	-0.030676	-0.109640	0.456869	0.380345	0.164222	0.163066	-0.052787	-0.369300	-0.766208	-0.803430	-0.044226	-0.349730	-0.656260	-0.551008	0.485097	-0.166361	-0.069646	0.114860	0.136163
