	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.640039	1.644691	1.643713	1.587475	1.563666	1.583894	1.562203	1.537205	1.667671	1.719631	1.690223	1.679889	1.599896	1.572531	1.540440	1.428406	1.647358	1.568525	1.806566	1.876764	1.645007	1.531874	1.501585	1.693175	1.641731
1	-0.054474	0.250931	0.549889	0.654525	0.342362	0.098621	-0.088138	-0.128153	0.414439	0.154155	-0.075711	-0.158128	-0.070244	-0.466613	-0.816603	-0.858301	-0.037607	-0.476248	-0.537911	-0.631018	0.476064	-0.187189	-0.119998	-0.234216	-0.162827
2	3.313445	3.307946	3.291396	3.360231	3.379025	3.483793	3.544917	3.535521	3.162825	3.103820	3.077603	3.096291	3.322691	3.251942	3.268152	3.192791	3.237849	3.261740	3.318623	3.256403	3.297609	3.549917	3.517334	3.105719	3.118423
3	1.640039	1.644691	1.643713	1.587475	1.563666	1.583894	1.562203	1.537205	1.667671	1.719631	1.690223	1.679889	1.599896	1.572531	1.540440	1.428406	1.647358	1.568525	1.806566	1.876764	1.645007	1.531874	1.501585	1.693175	1.641731
4	-0.054474	0.250931	0.549889	0.654525	0.342362	0.098621	-0.088138	-0.128153	0.414439	0.154155	-0.075711	-0.158128	-0.070244	-0.466613	-0.816603	-0.858301	-0.037607	-0.476248	-0.537911	-0.631018	0.476064	-0.187189	-0.119998	-0.234216	-0.162827
5	3.313445	3.307946	3.291396	3.360231	3.379025	3.483793	3.544917	3.535521	3.162825	3.103820	3.077603	3.096291	3.322691	3.251942	3.268152	3.192791	3.237849	3.261740	3.318623	3.256403	3.297609	3.549917	3.517334	3.105719	3.118423
6	1.640039	1.644691	1.643713	1.587475	1.563666	1.583894	1.562203	1.537205	1.667671	1.719631	1.690223	1.679889	1.599896	1.572531	1.540440	1.428406	1.647358	1.568525	1.806566	1.876764	1.645007	1.531874	1.501585	1.693175	1.641731
7	-0.054474	0.250931	0.549889	0.654525	0.342362	0.098621	-0.088138	-0.128153	0.414439	0.154155	-0.075711	-0.158128	-0.070244	-0.466613	-0.816603	-0.858301	-0.037607	-0.476248	-0.537911	-0.631018	0.476064	-0.187189	-0.119998	-0.234216	-0.162827
8	3.313445	3.307946	3.291396	3.360231	3.379025	3.483793	3.544917	3.535521	3.162825	3.103820	3.077603	3.096291	3.322691	3.251942	3.268152	3.192791	3.237849	3.261740	3.318623	3.256403	3.297609	3.549917	3.517334	3.105719	3.118423
9	1.553209	1.565572	1.572372	1.516249	1.494419	1.474521	1.521415	1.508177	1.593519	1.636464	1.582206	1.563234	1.515255	1.509697	1.539628	1.426445	1.560008	1.546109	1.815879	1.865234	1.571700	1.504236	1.490911	1.568215	1.519385
10	-0.037936	0.266190	0.563830	0.666223	0.354033	0.069118	-0.076892	-0.141031	0.424410	0.155870	-0.094401	-0.142112	-0.053308	-0.448408	-0.817220	-0.858584	-0.021796	-0.443176	-0.638811	-0.704590	0.490345	-0.191919	-0.116245	-0.225287	-0.140417
11	3.337985	3.322324	3.295628	3.358812	3.379291	3.337646	3.514199	3.508617	3.157290	3.093347	3.075910	3.097296	3.347851	3.375548	3.267877	3.195557	3.261124	3.249343	3.320239	3.267578	3.304379	3.519078	3.501200	3.116502	3.087059
12	1.547082	1.552444	1.547779	1.488776	1.469427	1.460549	1.507237	1.476824	1.563850	1.582853	1.531638	1.510625	1.509176	1.505084	1.538708	1.544539	1.553849	1.535114	1.807606	1.823082	1.550404	1.479422	1.473960	1.493402	1.471417
