	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.874844	1.878897	1.878241	1.829807	1.758351	1.767583	1.709761	1.676042	1.964288	2.030724	1.975656	1.945057	1.814060	1.722241	1.675663	1.586072	1.907408	2.000883	2.110484	2.018689	1.879302	1.660984	1.667769	1.928270	1.958160
1	-0.072073	0.219804	0.507125	0.659500	0.375661	0.075248	-0.153540	-0.194763	0.394290	0.135652	-0.087834	-0.136274	-0.075723	-0.434506	-0.767479	-0.808534	-0.067338	-0.361175	-0.557616	-0.600526	0.435941	-0.229670	-0.193802	-0.203677	-0.094101
2	4.364112	4.372217	4.369382	4.356349	4.470418	4.520764	4.445745	4.367127	4.242625	4.226740	4.132936	4.158512	4.368783	4.312508	4.266397	4.165839	4.293733	4.331137	4.476665	4.376777	4.372175	4.354207	4.345572	4.070409	4.074858
3	1.836397	1.845014	1.844456	1.801816	1.731128	1.720757	1.677736	1.659830	1.925344	2.000726	1.972382	1.943366	1.783081	1.692264	1.667713	1.583998	1.864317	1.953510	2.044770	1.958935	1.845605	1.657140	1.631482	1.944281	1.937593
4	-0.093362	0.215895	0.519711	0.659145	0.391627	0.166271	-0.074879	-0.139357	0.401713	0.137147	-0.083402	-0.140731	-0.092280	-0.396671	-0.758954	-0.793560	-0.091341	-0.337058	-0.542673	-0.579156	0.444246	-0.216119	-0.107976	-0.213197	-0.142802
5	4.343949	4.347155	4.335709	4.333441	4.478087	4.513914	4.490973	4.482218	4.217183	4.199115	4.130068	4.112775	4.349754	4.286412	4.265825	4.180712	4.272633	4.266560	4.405331	4.320841	4.340890	4.464178	4.449834	4.112129	4.045144
6	1.836397	1.845014	1.844456	1.801816	1.731128	1.720757	1.677736	1.659830	1.925344	2.000726	1.972382	1.943366	1.783081	1.692264	1.667713	1.583998	1.864317	1.953510	2.044770	1.958935	1.845605	1.657140	1.631482	1.944281	1.937593
7	-0.093362	0.215895	0.519711	0.659145	0.391627	0.166271	-0.074879	-0.139357	0.401713	0.137147	-0.083402	-0.140731	-0.092280	-0.396671	-0.758954	-0.793560	-0.091341	-0.337058	-0.542673	-0.579156	0.444246	-0.216119	-0.107976	-0.213197	-0.142802
8	4.343949	4.347155	4.335709	4.333441	4.478087	4.513914	4.490973	4.482218	4.217183	4.199115	4.130068	4.112775	4.349754	4.286412	4.265825	4.180712	4.272633	4.266560	4.405331	4.320841	4.340890	4.464178	4.449834	4.112129	4.045144
9	1.793004	1.799987	1.803647	1.758356	1.678223	1.673682	1.616197	1.608069	1.883366	1.978526	1.954891	1.931390	1.732769	1.676621	1.663195	1.573614	1.824908	1.885702	1.950626	1.859255	1.802551	1.608415	1.584149	1.944729	1.938442
