	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.181558	1.181653	1.177519	1.159903	1.102834	1.068267	0.945912	0.941972	1.223858	1.272722	1.283338	1.284601	1.141173	1.044009	1.435131	1.297411	1.196560	1.405377	1.545055	1.405666	1.179344	0.939337	0.935901	1.292573	1.258435
1	-0.225122	0.083924	0.386544	0.490398	0.239757	0.010650	-0.145977	-0.192541	0.269735	0.000996	-0.227765	-0.281072	-0.229395	-0.569054	-0.780172	-0.786721	-0.216005	-0.568584	-0.865118	-0.855595	0.311766	-0.192002	-0.191300	-0.328690	-0.293313
2	3.278557	3.299881	3.308979	3.361145	3.403712	3.515514	3.621762	3.639889	3.164363	3.094421	3.069844	3.062449	3.298378	3.252872	3.292375	3.251654	3.188219	3.349151	3.294909	3.255032	3.308968	3.629708	3.616428	3.072600	3.068600
3	1.078995	1.077155	1.071414	1.070066	1.001466	0.985078	1.001428	1.006851	1.119861	1.159348	1.183200	1.189685	1.039505	0.977333	0.890318	0.806654	1.095112	1.277900	1.473039	1.374628	1.073578	1.038375	1.011021	1.203474	1.175259
4	-0.229946	0.082094	0.387617	0.488065	0.239940	-0.006282	0.217959	0.283247	0.270037	0.012028	-0.213309	-0.281577	-0.234213	-0.566383	-0.816152	-0.860868	-0.220691	-0.517198	-0.783635	-0.819252	0.312129	0.349409	0.309216	-0.340379	-0.282014
5	3.283634	3.298851	3.301704	3.361552	3.400441	3.478602	3.437282	3.382664	3.159040	3.090936	3.072774	3.063209	3.292305	3.270695	3.282232	3.242480	3.203765	3.363521	3.316072	3.243653	3.303277	3.395072	3.390572	3.072522	3.068715
6	1.031685	1.036584	1.040349	1.020030	0.967838	0.954256	1.065838	1.064502	1.080236	1.102085	1.126580	1.129402	0.993706	0.927683	0.875110	0.807889	1.047263	1.249295	1.445968	1.448102	1.040328	1.118493	1.098613	1.144953	1.114517
7	-0.201253	0.100107	0.395362	0.488515	0.248284	0.001419	-0.152304	-0.199958	0.270034	0.003755	-0.221199	-0.271994	-0.203659	-0.535917	-0.806062	-0.860998	-0.194472	-0.536027	-0.783946	-0.856880	0.322151	-0.254857	-0.177122	-0.331309	-0.280180
8	3.269751	3.288466	3.295232	3.352067	3.393566	3.472211	3.221777	3.144415	3.153723	3.087023	3.064386	3.062747	3.278466	3.259163	3.280499	3.246249	3.189963	3.360301	3.324659	3.289714	3.295906	3.085130	3.081750	3.067101	3.064750
9	0.964179	0.983622	0.994951	1.010942	0.923509	0.932362	0.999530	0.996298	0.985289	0.997335	0.987342	0.998512	0.936281	0.883130	0.847471	0.777549	0.970731	1.116708	1.368611	1.317310	0.994973	1.002033	0.998724	1.002033	0.985173
